departement,nom,wiki_fr,wiki_en,image,type_lait,type_fromage
Haute-Corse,A Filetta,http://fr.wikipedia.org/wiki/A_Filetta_%28marque%29,,,Brebis,stretched-curd-cheese
Pyrénées-Atlantiques,Abbaye de Belloc,http://fr.wikipedia.org/wiki/Abbaye_de_Belloc_%28fromage%29,http://en.wikipedia.org/wiki/Abbaye_de_Belloc,,Brebis,uncooked-pressed-cheese
Côte-d'Or,Abbaye de Cîteaux,http://fr.wikipedia.org/wiki/Abbaye_de_C%C3%AEteaux_%28marque%29,,,Vaches,uncooked-pressed-cheese
Morbihan,Abbaye de la Joie Notre-Dame,http://fr.wikipedia.org/wiki/Abbaye_de_la_Joie_Notre-Dame_%28fromage%29,,,Vache,uncooked-pressed-cheese
Yonne,Abbaye de la Pierre-qui-Vire,http://fr.wikipedia.org/wiki/Abbaye_de_la_Pierre-qui-Vire_%28fromage%29,,,Vache,rind-washed-cheese
Savoie,Abbaye de Tamié,http://fr.wikipedia.org/wiki/Abbaye_de_Tami%C3%A9_%28fromage%29,http://en.wikipedia.org/wiki/Abbaye_de_Tami%C3%A9,,Vache,uncooked-pressed-cheese
Savoie,Abondance,http://fr.wikipedia.org/wiki/Abondance_%28fromage%29,http://en.wikipedia.org/wiki/Abondance_cheese,,Vache,cooked-pressed-cheese
Côte-d'Or,Affidélice,http://fr.wikipedia.org/wiki/Affid%C3%A9lice,,,Vache,rind-washed-cheese
Hautes-Alpes,Aiguille d'Orcières,http://fr.wikipedia.org/wiki/Aiguille_d%27Orci%C3%A8res,,,Vache,cooked-pressed-cheese
Côte-d'Or,Aisy cendré,http://fr.wikipedia.org/wiki/Aisy_cendr%C3%A9,http://en.wikipedia.org/wiki/Aisy_cendr%C3%A9,,Vache,rind-washed-cheese
Landes,Amou,http://fr.wikipedia.org/wiki/Amou_%28fromage%29,,,Brebis,uncooked-pressed-cheese
Pyrénées-Atlantiques,Ardi-Gasna,http://fr.wikipedia.org/wiki/Ardi-Gasna,,,Brebis,uncooked-pressed-cheese
Rhône,Arôme au vin blanc,http://fr.wikipedia.org/wiki/Ar%C3%B4me_au_vin_blanc,,,Vache,soft-ripened-cheese
Rhône,Arôme de Lyon,http://fr.wikipedia.org/wiki/Ar%C3%B4me_de_Lyon,,,Vache,fresh-cheese
Indre,Arthon,http://fr.wikipedia.org/wiki/Arthon_%28fromage%29,,,Chèvre,soft-ripened-cheese
Saône-et-Loire,Autun,http://fr.wikipedia.org/wiki/Autun_%28fromage%29,,,Chèvre,soft-ripened-cheese
Savoie,Avalin,http://fr.wikipedia.org/wiki/Avalin,,,Vache,cooked-pressed-cheese
Nord,Baguette paysanne à la moutarde,http://fr.wikipedia.org/wiki/Baguette_paysanne_%C3%A0_la_moutarde,,,Vache,rind-washed-cheese
Aube,Barberey,http://fr.wikipedia.org/wiki/Barberey_%28fromage%29,,,Vache,soft-ripened-cheese
Hautes-Pyrénées,Barousse,http://fr.wikipedia.org/wiki/Barousse_%28fromage%29,,,Brebis,uncooked-pressed-cheese
Savoie,Beaufort,http://fr.wikipedia.org/wiki/Beaufort_%28fromage%29,http://en.wikipedia.org/wiki/Beaufort_cheese,,Vache,cooked-pressed-cheese
Savoie,Beaumont,http://fr.wikipedia.org/wiki/Beaumont_%28fromage%29,,,Vache,uncooked-pressed-cheese
Aisne,Belle des champs,http://fr.wikipedia.org/wiki/Belle_des_champs,,,Vache,soft-ripened-cheese
Allier,Bessay,http://fr.wikipedia.org/wiki/Bessay_%28fromage%29,,,Vache,soft-ripened-cheese
Ariège,Bethmale,http://fr.wikipedia.org/wiki/Bethmale_%28fromage%29,,,Vache,uncooked-pressed-cheese
Puy-de-Dôme,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,,Vache,blue-cheese
Aveyron,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,,Vache,blue-cheese
Haute-Loire,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,,Vache,blue-cheese
Corrèze,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,,Vache,blue-cheese
Lozère,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,,Vache,blue-cheese
Cantal,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,,Vache,blue-cheese
Lot,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,,Vache,blue-cheese
Haute-Loire,Bleu de Costaros,http://fr.wikipedia.org/wiki/Bleu_de_Costaros,,,Vache,blue-cheese
Jura,Bleu de Gex,http://fr.wikipedia.org/wiki/Bleu_de_Gex,http://en.wikipedia.org/wiki/Bleu_de_Gex,,Vache,blue-cheese
Ain,Bleu de Gex,http://fr.wikipedia.org/wiki/Bleu_de_Gex,http://en.wikipedia.org/wiki/Bleu_de_Gex,,Vache,blue-cheese
Puy-de-Dôme,Bleu de Laqueuille,http://fr.wikipedia.org/wiki/Bleu_de_Laqueuille,,,Vache,blue-cheese
Isère,Bleu de Lavaldens,http://fr.wikipedia.org/wiki/Bleu_de_Lavaldens,,,Vache,blue-cheese
Haute-Loire,Bleu de Loudes,http://fr.wikipedia.org/wiki/Bleu_de_Loudes,,,Vache,blue-cheese
Savoie,Bleu de Sainte-Foy,http://fr.wikipedia.org/wiki/Bleu_de_Sainte-Foy,,,Vache,blue-cheese
Savoie,Bleu de Termignon,http://fr.wikipedia.org/wiki/Bleu_de_Termignon,,,Vache,blue-cheese
Cantal,Bleu de Thiézac,http://fr.wikipedia.org/wiki/Bleu_de_Thi%C3%A9zac,,,Vache,blue-cheese
Lozère,Bleu des Causses,http://fr.wikipedia.org/wiki/Bleu_des_Causses,http://en.wikipedia.org/wiki/Bleu_des_Causses,,Vache,blue-cheese
Aveyron,Bleu des Causses,http://fr.wikipedia.org/wiki/Bleu_des_Causses,http://en.wikipedia.org/wiki/Bleu_des_Causses,,Vache,blue-cheese
Hautes-Alpes,Bleu du Dévoluy,http://fr.wikipedia.org/wiki/Bleu_du_D%C3%A9voluy,,,Vache,blue-cheese
Savoie,Bleu du Mont-Cenis,http://fr.wikipedia.org/wiki/Bleu_du_Mont-Cenis,,,Vache,blue-cheese
Lot,Bleu du Quercy,http://fr.wikipedia.org/wiki/Bleu_du_Quercy,,,Vache,blue-cheese
Drôme,Bleu du Vercors-Sassenage,http://fr.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,http://en.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,,Vache,blue-cheese
Isère,Bleu du Vercors-Sassenage,http://fr.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,http://en.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,,Vache,blue-cheese
Mayenne,Bons Mayennais,http://fr.wikipedia.org/wiki/Bons_Mayennais,,,Vache,soft-ripened-cheese
Seine-Maritime,Bouille,http://fr.wikipedia.org/wiki/Bouille_%28fromage%29,,,Vache,soft-ripened-cheese
Yonne,Boule des moines,http://fr.wikipedia.org/wiki/Boule_des_moines,,,Vache,fresh-cheese
Nord,Boulet de Cassel,http://fr.wikipedia.org/wiki/Boulet_de_Cassel,,,Vache,uncooked-pressed-cheese
Nord,Boulette d'Avesnes,http://fr.wikipedia.org/wiki/Boulette_d%27Avesnes,,,Vache,rind-washed-cheese
Yonne,Boulette de la Pierre-qui-Vire,http://fr.wikipedia.org/wiki/Boulette_de_la_Pierre-qui-Vire,,,Vache,soft-ripened-cheese
Saône-et-Loire,Bouton de Culotte,http://fr.wikipedia.org/wiki/Bouton_de_Culotte,,,Chèvre,soft-ripened-cheese
Ain,Bresse Bleu,http://fr.wikipedia.org/wiki/Bresse_Bleu,http://en.wikipedia.org/wiki/Bleu_de_Bresse,,Vache,blue-cheese
Savoie,Brézain,http://fr.wikipedia.org/wiki/Br%C3%A9zain,,,Vache,uncooked-pressed-cheese
Haute-Marne,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,http://en.wikipedia.org/wiki/Brie_de_Meaux,,Vache,soft-ripened-cheese
Seine-et-Marne,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,http://en.wikipedia.org/wiki/Brie_de_Meaux,,Vache,soft-ripened-cheese
Marne,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,http://en.wikipedia.org/wiki/Brie_de_Meaux,,Vache,soft-ripened-cheese
Aube,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,http://en.wikipedia.org/wiki/Brie_de_Meaux,,Vache,soft-ripened-cheese
Yonne,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,,,Vache,soft-ripened-cheese
Seine-et-Marne,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,,,Vache,soft-ripened-cheese
Aube,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,,,Vache,soft-ripened-cheese
Seine-et-Marne,Brie de Montereau,http://fr.wikipedia.org/wiki/Brie_de_Montereau,,,Vache,soft-ripened-cheese
Seine-et-Marne,Brie de Nangis,http://fr.wikipedia.org/wiki/Brie_de_Nangis,,,Vache,soft-ripened-cheese
Haute-Corse,Brin d'amour,http://fr.wikipedia.org/wiki/Brin_d%27amour,,,Brebis,rind-washed-cheese
Nord,Briquette de l'Ecaillon,http://fr.wikipedia.org/wiki/Briquette_de_l%27Ecaillon,,,Chèvre,soft-ripened-cheese
Lot,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,http://en.wikipedia.org/wiki/Cab%C3%A9cou,,Chèvre,soft-ripened-cheese
Cantal,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,http://en.wikipedia.org/wiki/Cab%C3%A9cou,,Chèvre,soft-ripened-cheese
Aveyron,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,http://en.wikipedia.org/wiki/Cab%C3%A9cou,,Chèvre,soft-ripened-cheese
Charente-Maritime,Caillebotte,http://fr.wikipedia.org/wiki/Caillebotte_%28fromage%29,,,Vache,fresh-cheese
Cantal,Cantal,http://fr.wikipedia.org/wiki/Cantal_%28fromage%29,http://en.wikipedia.org/wiki/Cantal_cheese,,Vache,uncooked-pressed-cheese
Réunion,Cap Noir,http://fr.wikipedia.org/wiki/Cap_Noir_%28fromage%29,,,Vache,uncooked-pressed-cheese
Haute-Marne,Caprice des Dieux,http://fr.wikipedia.org/wiki/Caprice_des_Dieux,,,Vache,soft-ripened-cheese
Cantal,Carré d'Aurillac,http://fr.wikipedia.org/wiki/Carr%C3%A9_d%27Aurillac,http://en.wikipedia.org/wiki/Carr%C3%A9_d%27Aurillac,,Vache,blue-cheese
